u1	y1
-0.01000	1021.80517	
-0.01000	1058.52525	
-0.01000	1052.27659	
-0.01000	1039.67773	
-0.01000	1036.24110	
-0.01000	1052.60840	
-0.01000	1028.22074	
-0.01000	1052.42216	
-0.01000	1025.11644	
-0.01000	1012.22314	
-0.01000	1014.73408	
-0.01000	993.63423	
-0.01000	1015.00764	
-0.01000	995.17637	
-0.01000	1004.86168	
-0.01000	1013.96111	
-0.01000	1013.70442	
-0.01000	995.95899	
-0.01000	1007.54391	
-0.01000	1009.09957	
-0.01000	996.84629	
-0.01000	988.51657	
-0.01000	960.16713	
-0.01000	964.18974	
-0.01000	931.27381	
-0.01000	914.03433	
-0.01000	911.39952	
-0.01000	927.22969	
-0.01000	880.27376	
-0.01000	897.33652	
-0.01000	894.85064	
-0.01000	877.40256	
-0.01000	897.92672	
-0.01000	860.50846	
-0.01000	868.71376	
-0.01000	884.19695	
-0.01000	890.02268	
-0.01000	923.36136	
-0.01000	913.16196	
-0.01000	922.15915	
-0.01000	876.86026	
-0.01000	857.44278	
-0.01000	868.71501	
-0.01000	858.51656	
-0.01000	878.36676	
-0.01000	842.92998	
-0.01000	853.50571	
-0.01000	865.50546	
-0.01000	871.37237	
-0.01000	874.56318	
-0.01000	885.16772	
-0.01000	898.23101	
-0.01000	906.02969	
-0.01000	899.07418	
-0.01000	896.55750	
-0.01000	913.60987	
-0.01000	905.69196	
-0.01000	942.86071	
-0.01000	943.76976	
-0.01000	928.96138	
-0.01000	896.57799	
-0.01000	897.55848	
-0.01000	888.51439	
-0.01000	923.81595	
-0.01000	929.90638	
-0.01000	949.19617	
-0.01000	942.62770	
-0.01000	943.14541	
-0.01000	939.61702	
-0.01000	937.16596	
-0.01000	939.19791	
-0.01000	955.00324	
-0.01000	943.21089	
-0.01000	976.84760	
-0.01000	978.95435	
-0.01000	1013.73129	
-0.01000	1012.75982	
-0.01000	1011.74804	
-0.01000	1023.61602	
-0.01000	1067.91152	
-0.01000	1075.64720	
-0.01000	1067.61494	
-0.01000	1060.89766	
-0.01000	1089.91433	
-0.01000	1076.42728	
-0.01000	1088.99970	
-0.01000	1085.79765	
-0.01000	1079.11686	
-0.01000	1099.97016	
-0.01000	1136.37917	
-0.01000	1145.40983	
-0.01000	1108.84796	
-0.01000	1131.05028	
-0.01000	1092.16766	
-0.01000	1101.05065	
-0.01000	1106.72814	
-0.01000	1090.64076	
-0.01000	1070.54820	
-0.01000	1076.71800	
-0.01000	1066.76276	
-0.01000	1042.46107	
-0.01000	1009.57114	
-0.01000	1018.51142	
-0.01000	1043.94689	
-0.01000	1073.85873	
-0.01000	1096.04521	
-0.01000	1087.24854	
-0.01000	1084.82322	
-0.01000	1066.92647	
-0.01000	1053.92259	
-0.01000	1040.53119	
-0.01000	1064.69003	
-0.01000	1050.40536	
-0.01000	1058.29703	
-0.01000	1054.50843	
-0.01000	1068.63542	
-0.01000	1102.87657	
-0.01000	1058.34970	
-0.01000	1066.22519	
-0.01000	1082.43885	
-0.01000	1109.93269	
-0.01000	1105.24374	
-0.01000	1132.25026	
-0.01000	1097.09413	
-0.01000	1090.95588	
-0.01000	1126.94957	
-0.01000	1101.68293	
-0.01000	1065.46281	
-0.01000	1121.36115	
-0.01000	1121.48050	
-0.01000	1108.93619	
-0.01000	1069.94680	
-0.01000	1078.10579	
-0.01000	1058.87129	
-0.01000	999.18975	
-0.01000	994.79218	
-0.01000	996.94037	
-0.01000	969.83938	
-0.01000	968.38619	
-0.01000	958.95688	
